cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
6006,-70.8,7.2,65,927.4,0.811640711,0.554781147,0.91311542,423137.6085,0.954080669,6,0.525641026,1.39053646
6007,-69.8,7.2,70,988.4,0.801110137,0.548131777,0.871060396,423137.6085,0.924610915,6,0.504761905,1.3421443
6008,-68.8,7.2,71,1004.5,0.806302025,0.556775417,0.85943467,423137.6085,0.907393147,6,0.518779343,1.37036849
6009,-67.8,7.2,73,1032,0.806174188,0.557209912,0.858165913,425285.5151,0.880324507,6,0.51369863,1.35316095
6010,-66.8,7.2,74,1068.2,0.798789587,0.565641446,0.863541416,431192.2584,0.874936294,6,0.522522523,1.37606333
6011,-65.8,7.2,71,1029,0.801376768,0.565115848,0.872169445,431192.2584,0.886921041,6,0.509389671,1.34709642
6012,-64.8,7.2,70,1013.3,0.803125913,0.564490848,0.876832126,431192.2584,0.893463526,6,0.50952381,1.35181223
6013,-63.8,7.2,68,996.7,0.795891976,0.562181873,0.885585806,429014.5197,0.902968541,6,0.5,1.34633982
6014,-62.8,7.2,70,1009.9,0.802570844,0.570471703,0.879299275,429014.5197,0.887790286,6,0.514285714,1.37380345
6015,-61.8,7.2,71,1028,0.800138253,0.578335452,0.860284919,429014.5197,0.885925947,6,0.523474178,1.39040111
6016,-60.8,7.2,72,1030.3,0.80226085,0.577673608,0.851422978,429014.5197,0.881236791,6,0.527777778,1.39647412
6017,-59.8,7.2,67,969.6,0.803223148,0.577450172,0.858712557,425488.373,0.917879877,6,0.529850746,1.3927733
6018,-58.8,7.2,66,963.1,0.802255686,0.577941758,0.871704326,425488.373,0.920618148,6,0.525252525,1.38590327
6019,-57.8,7.2,66,963.1,0.802255686,0.577941758,0.871704326,425488.373,0.920618148,6,0.525252525,1.38590327
6020,-56.8,7.2,67,967.7,0.803101059,0.562312994,0.878900174,425488.373,0.919965983,6,0.5,1.35003616
6021,-55.8,7.2,62,930.2,0.793587968,0.569308499,0.935602282,425488.373,0.941328174,6,0.510752688,1.36724148
6022,-54.8,7.2,62,930.2,0.793587968,0.569308499,0.935602282,425488.373,0.941328174,6,0.510752688,1.36724148
6023,-53.8,7.2,60,896.5,0.800886162,0.563019191,0.956749774,425488.373,0.955185257,6,0.5,1.3344464
6024,-52.8,7.2,58,873.8,0.797334462,0.565387094,0.947312669,425488.373,0.98877703,6,0.505747126,1.34718436
6084,-76.8,6.2,66,962.8,0.786546446,0.568405146,0.868951419,397240.5092,0.969920612,6,0.535353535,1.41753807
6085,-75.8,6.2,73,1034.7,0.79311987,0.557912585,0.843776993,405249.3905,0.927940622,6,0.51826484,1.37976368
6086,-74.8,6.2,68,998.6,0.791711777,0.578983466,0.877035461,405249.3905,0.95100222,6,0.558823529,1.44613085
6087,-73.8,6.2,68,990.7,0.794478528,0.57874647,0.851551232,405249.3905,0.952465022,6,0.558823529,1.44613085
6088,-72.8,6.2,69,1011.6,0.79313002,0.56381571,0.893271,397240.5092,0.939129205,6,0.533816425,1.40752848
6089,-71.8,6.2,70,1000.5,0.803534911,0.553529195,0.879634741,423137.6085,0.909757172,6,0.523809524,1.38027847
6090,-70.8,6.2,71,1004.3,0.801031136,0.542704077,0.879205271,423137.6085,0.902187069,6,0.495305164,1.3321823
6091,-69.8,6.2,61,894.6,0.798585269,0.551245432,0.930390172,423137.6085,0.977085447,6,0.516393443,1.37317553
6092,-68.8,6.2,61,901.4,0.804485568,0.55952373,0.938739019,423137.6085,0.978948394,6,0.516393443,1.3837472
6093,-67.8,6.2,71,1019.7,0.801031136,0.558859908,0.875059307,425285.5151,0.894203174,6,0.518779343,1.36310179
